COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
69,4366.15,3987.18,4341.03,4125.13,4061.03,3600.51,4445.64,4461.03,4776.41,4522.56,4549.74,4334.36,4262.56,3875.38,1655,1692,0.573,0,0,0,0,
70,4369.23,3988.21,4342.05,4133.85,4057.95,3603.08,4445.64,4462.05,4767.69,4522.05,4547.18,4340.51,4262.56,3876.92,1655,1694,0.581,0,0,0,0,
71,4375.9,3989.23,4344.62,4135.38,4058.46,3601.54,4447.69,4460.51,4766.15,4528.72,4540,4344.62,4267.18,3881.54,1655,1693,0.589,0,0,0,0,
72,4371.79,3987.18,4343.08,4127.18,4056.92,3591.79,4446.15,4454.36,4761.03,4522.56,4539.49,4336.92,4260,3875.38,1653,1693,0.597,0,0,0,0,
73,4361.03,3982.05,4341.03,4122.05,4052.31,3590.77,4442.05,4451.79,4751.79,4505.13,4535.38,4334.36,4250.77,3869.23,1655,1693,0.605,0,0,0,0,
74,4367.18,3985.13,4345.64,4126.15,4055.38,3601.03,4448.21,4456.92,4756.92,4506.15,4536.41,4345.64,4261.54,3882.56,1653,1691,0.613,0,0,0,0,
75,4381.03,3989.74,4352.82,4128.72,4063.59,3606.67,4461.54,4461.54,4776.41,4527.18,4552.31,4354.36,4283.08,3898.97,1654,1692,0.62,0,0,0,0,
76,4377.95,3983.59,4351.79,4124.1,4061.54,3602.56,4456.92,4462.05,4780,4540,4558.46,4352.82,4288.21,3897.44,1654,1692,0.628,0,0,0,0,
77,4368.72,3980,4348.72,4121.03,4054.36,3599.49,4442.56,4457.95,4766.67,4538.46,4551.79,4350.26,4286.15,3892.31,1654,1692,0.636,0,0,0,0,
78,4372.31,3989.74,4351.79,4131.79,4062.05,3603.59,4449.23,4455.9,4762.56,4537.44,4558.97,4351.79,4292.31,3896.41,1654,1692,0.644,0,0,0,0,
79,4374.87,3997.44,4349.74,4141.54,4073.33,3608.21,4461.54,4459.49,4768.72,4538.46,4566.67,4352.82,4291.28,3894.87,1655,1693,0.652,0,0,0,0,
80,4365.13,3994.87,4339.49,4131.79,4071.28,3608.21,4457.44,4459.49,4768.21,4535.38,4556.92,4345.64,4279.49,3883.08,1655,1692,0.66,0,0,0,0,
81,4356.92,3989.74,4336.41,4124.62,4065.13,3606.67,4453.33,4455.9,4767.18,4535.9,4550.26,4336.41,4281.03,3874.87,1654,1693,0.667,0,0,0,0,
82,4357.44,3989.74,4341.03,4131.79,4064.62,3606.67,4458.46,4458.97,4772.31,4538.46,4556.92,4339.49,4292.82,3882.56,1655,1691,0.675,0,0,0,0,
83,4362.56,3994.36,4342.05,4136.92,4065.64,3605.13,4458.97,4460.51,4770.26,4530.26,4557.44,4345.13,4288.72,3894.36,1653,1691,0.684,0,0,0,0,
84,4369.74,3999.49,4345.13,4135.38,4065.64,3603.59,4456.41,4456.41,4763.59,4523.59,4550.26,4344.1,4277.95,3892.82,1655,1691,0.691,0,0,0,0,
85,4374.36,4004.1,4352.82,4138.46,4068.21,3603.59,4457.44,4456.92,4766.67,4528.21,4550.77,4348.21,4284.1,3891.79,1653,1690,0.699,0,0,0,0,
86,4373.33,4004.1,4352.31,4136.92,4067.18,3603.08,4457.95,4459.49,4769.74,4527.69,4554.87,4352.31,4289.74,3895.9,1654,1691,0.706,0,0,0,0,
87,4372.31,4000,4347.69,4132.82,4065.13,3603.08,4456.92,4458.97,4768.21,4530.26,4556.92,4350.77,4288.72,3896.41,1654,1689,0.714,0,0,0,0,
88,4375.9,3998.46,4347.18,4137.95,4068.72,3602.56,4451.28,4460,4767.18,4538.97,4556.92,4349.74,4288.72,3894.87,1654,1691,0.722,0,0,0,0,
89,4373.85,3992.31,4345.13,4132.31,4065.64,3601.54,4445.13,4454.87,4766.67,4531.28,4545.64,4347.18,4282.05,3890.77,1655,1691,0.73,0,0,0,0,
90,4365.13,3986.15,4342.05,4120.51,4058.97,3602.05,4446.15,4448.21,4765.13,4519.49,4536.92,4340.51,4278.46,3886.67,1655,1692,0.738,0,0,0,0,
91,4366.15,3992.31,4343.08,4129.23,4065.13,3603.59,4449.23,4449.23,4764.1,4522.56,4546.15,4340,4284.1,3890.26,1655,1691,0.745,0,0,0,0,
92,4375.38,4001.03,4344.62,4142.05,4076.92,3605.64,4447.18,4448.21,4763.08,4525.64,4555.9,4345.13,4286.15,3895.38,1655,1691,0.753,0,0,0,0,
93,4373.85,3999.49,4341.03,4135.38,4077.44,3606.15,4446.67,4448.72,4763.59,4528.21,4552.31,4348.72,4283.59,3893.85,1655,1690,0.761,0,0,0,0,
